author,title,publicationYear,genre,series,pageCount
Jim Butcher,Storm Front,2000,Urban fantasy,Dresden Files,322
Jim Butcher,Fool Moon,2001,Urban fantasy,Dresden Files,342
Jim Butcher,Grave Peril,2001,Urban fantasy,Dresden Files,436
Jim Butcher,Summer Knight,2002,Urban fantasy,Dresden Files,446
Jim Butcher,Death Masks,2004,Urban fantasy,Dresden Files,378
Jim Butcher,Blood Rites,2004,Urban fantasy,Dresden Files,372
Jim Butcher,Dead Beat,2005,Urban fantasy,Dresden Files,424
Jim Butcher,Proven Guilty,2006,Urban fantasy,Dresden Files,547
Jim Butcher,White Night,2007,Urban fantasy,Dresden Files,455
Jim Butcher,Small Favor,2008,Urban fantasy,Dresden Files,541
Jim Butcher,Turn Coat,2009,Urban fantasy,Dresden Files,545
Jim Butcher,Changes,2010,Urban fantasy,Dresden Files,546
Jim Butcher,Ghost Story,2011,Urban fantasy,Dresden Files,578
Jim Butcher,Cold Days,2012,Urban fantasy,Dresden Files,614
Jim Butcher,Skin Game,2014,Urban fantasy,Dresden Files,600
Jim Butcher,Side Jobs,2010,Urban fantasy,Dresden Files,418
Jim Butcher,Furies of Calderon,2004,High fantasy,Codex Alera,502
Jim Butcher,Academ's Fury,2005,High fantasy,Codex Alera,529
Jim Butcher,Cursor's Fury,2006,High fantasy,Codex Alera,521
Jim Butcher,Captain's Fury,2007,High fantasy,Codex Alera,626
Jim Butcher,Princeps' Fury,2008,High fantasy,Codex Alera,622
Jim Butcher,First Lord's Fury,2008,High fantasy,Codex Alera,759
Jim Butcher,The Aeronaut's Windlass,2015,High fantasy,The Cinder Spires,751
Brandon Sanderson,Elantris,2005,Fantasy,,615
Brandon Sanderson,Mistborn,2006,High fantasy,Mistborn Trilogy,643
Brandon Sanderson,The Well of Ascension,2007,High fantasy,Mistborn Trilogy,763
Brandon Sanderson,The Hero of Ages,2008,High fantasy,Mistborn Trilogy,724
Brandon Sanderson,The Alloy of Law,2011,High fantasy,Wax and Wayne,383
